object_id,annotation_type,annotation_text,annotation_uri
http://purl.org/collections/nl/ubvu/print-218010001855,Biblical person,Jezus ,null
http://purl.org/collections/nl/ubvu/print-218010001019,Theme,De tuin van Eden,null
http://purl.org/collections/nl/ubvu/print-218010001409,Biblical person,Ruth,http://bibleontology.com/resource/Ruth
http://purl.org/collections/nl/ubvu/print-218010002032,Theme,Jesus stills the tempest,null
http://purl.org/collections/nl/ubvu/print-218010001871,Biblical person,Mary_(Mother_of_Jesus),http://bibleontology.com/resource/Mary_Mother_of_Jesus
http://purl.org/collections/nl/ubvu/print-218010002028,Theme,Daniel's enemies torn apart by the lions,null
http://purl.org/collections/nl/ubvu/print-218010001882,Biblical person,Engelen,null
http://purl.org/collections/nl/ubvu/print-218010001787,Biblical person,Moses,http://bibleontology.com/resource/Moses
http://purl.org/collections/nl/ubvu/print-218010001575,Biblical person,God,null
http://purl.org/collections/nl/ubvu/print-218010002007,Theme,Aaron stripted of his garments and given to his son Eliazar,null
http://purl.org/collections/nl/ubvu/print-218010001871,Biblical person,Christ,null
http://purl.org/collections/nl/ubvu/print-218010001071,Theme,"the meeting of Abraham and Melchizedek, the high priest and king of Salem, who brings bread and wine (Genesis 14:18-20)",http://iconclass.org/71C117
http://purl.org/collections/nl/ubvu/print-218010001554,Biblical person,Josiah,http://bibleontology.com/resource/Josiah
http://purl.org/collections/nl/ubvu/print-218010001151,Biblical person,Simeon en Levi (zoons van Lea en Jacob),null
http://purl.org/collections/nl/ubvu/print-218010001311,Biblical person,Moses,http://bibleontology.com/resource/Moses
http://purl.org/collections/nl/ubvu/print-218010001380,Theme,Gideon overvalt de Midjanieten,null
http://purl.org/collections/nl/ubvu/print-218010001511,Biblical person,Raven,null
http://purl.org/collections/nl/ubvu/print-218010002014,Theme,David's flight,null
http://purl.org/collections/nl/ubvu/print-218010001554,Biblical person,Safan,null
http://purl.org/collections/nl/ubvu/print-218010001449,Biblical person,Jonathan,null
http://purl.org/collections/nl/ubvu/print-218010001751,Theme,Christ sleeping in the ship was awaked by his disciples,null
http://purl.org/collections/nl/ubvu/print-218010002010,Biblical person,Samson,http://bibleontology.com/resource/Samson
http://purl.org/collections/nl/ubvu/print-218010001384,Biblical person,Gideon,http://bibleontology.com/resource/Gideon
http://purl.org/collections/nl/ubvu/print-218010001110,Theme,De knecht van Abraham ontmoet Rebekka bij de put.,null
http://purl.org/collections/nl/ubvu/print-218010001835,Theme,Jesus finds his disciples sleeping,null
http://purl.org/collections/nl/ubvu/print-218010001609,Theme,Judethcuts off Holofernes head while he sleeps,null
http://purl.org/collections/nl/ubvu/print-218010001951,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010002010,Biblical person,Simson,null
http://purl.org/collections/nl/ubvu/print-218010001396,Theme,the Philistines defeated ~ the secret expedition of Jonathan,http://iconclass.org/71G224
http://purl.org/collections/nl/ubvu/print-218010002021,Biblical person,Cyrus,null
http://purl.org/collections/nl/ubvu/print-218010001683,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010001683,Biblical person,Maria,http://bibleontology.com/resource/Maria
http://purl.org/collections/nl/ubvu/print-218010002023,Biblical person,Esther,http://bibleontology.com/resource/Esther
http://purl.org/collections/nl/ubvu/print-218010001307,Theme,Moses explains promulgates the Law,null
http://purl.org/collections/nl/ubvu/print-218010002004,Theme,Ten commands given to Moses,null
http://purl.org/collections/nl/ubvu/print-218010001449,Biblical person,Jonathan,null
http://purl.org/collections/nl/ubvu/print-218010001867,Theme,Jezus aan het kruis,null
http://purl.org/collections/nl/ubvu/print-218010002022,Biblical person,Ezra,http://bibleontology.com/resource/Ezra
http://purl.org/collections/nl/ubvu/print-218010002009,Theme,Sisera killed by Jael,null
http://purl.org/collections/nl/ubvu/print-218010002010,Biblical person,Simson,null
http://purl.org/collections/nl/ubvu/print-218010001873,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010001951,Biblical person,Johannes (apostel),null
http://purl.org/collections/nl/ubvu/print-218010001721,Theme,De bruiloft te Kana,null
http://purl.org/collections/nl/ubvu/print-218010001115,Biblical person,Abraham,null
http://purl.org/collections/nl/ubvu/print-218010001045,Theme,De verdorven wereld,null
http://purl.org/collections/nl/ubvu/print-218010001692,Biblical person,Herod's soldiers,null
